ds,yhat,yhat_lower,yhat_upper
2024-01-01,258.7412202829167,102.25865305505546,412.95327735070776
2024-01-02,106.48411310801765,-53.684738070524034,250.55275366053112
2024-01-03,191.38083289455435,40.31185051611961,341.659737052207
2024-01-04,172.55921379324982,9.972554136610992,331.03220985060193
2024-01-05,114.94083473507243,-43.8380277486134,265.7948391806142
2024-01-06,119.89104926576448,-42.73404705050061,281.5549578252447
2024-01-07,182.41243246928218,24.838683703762776,331.03580289316415
2024-01-08,278.9889857982067,131.6451031982294,442.2050698064735
2024-01-09,126.73187862261562,-32.4682979838696,285.28665351529156
2024-01-10,211.62859840814605,64.97201293280646,366.98583952091457
2024-01-11,192.8069793063046,50.168604689045694,335.6410590604572
2024-01-12,135.1886002483456,-23.830594198254445,293.1338369004892
2024-01-13,140.1388147789709,-10.568875346124587,288.84664878364566
2024-01-14,202.66019798307914,53.04903455019473,371.41556654684865
2024-01-15,299.2367513118981,137.67844289744812,452.79047535584004
2024-01-16,146.97964413616702,-10.21559030031785,306.9968428192982
2024-01-17,231.87636392156205,64.85662012440281,392.09590199780035
2024-01-18,213.0547448190963,55.3018873455818,361.22720619098754
2024-01-19,155.43636576061536,-15.112563855240928,294.9972707250204
2024-01-20,160.38658029006126,5.148797275236951,304.42789264378115
2024-01-21,222.90796349278298,66.5408989459025,376.13382704183306
2024-01-22,319.48451682047096,164.8253186534742,485.5896622581263
2024-01-23,167.22740964330637,8.372485080944877,318.85262383409145
2024-01-24,252.12412942778724,95.57419869452994,385.0237740940273
2024-01-25,233.30251032494868,65.87079269982074,400.86495538027737
2024-01-26,175.6841312663486,17.21147264320066,327.0790449173231
2024-01-27,180.63434579592695,36.27897809767556,330.14042233980786
2024-01-28,243.15572899862187,87.10909848737882,404.98126467478187
2024-01-29,339.7322823264724,172.00230135299043,486.87780352717033
2024-01-30,187.4751751494565,42.922664665511846,341.8540217476556
2024-01-31,272.37189493428605,120.2795307749686,427.3022636396551
2024-02-01,253.55027583214488,98.00870269272573,406.0638541646594
2024-02-02,195.93189677271832,47.376470084038694,349.804873645598
2024-02-03,200.88211130227427,54.60366838754197,354.0656784117092
2024-02-04,263.40349450474554,108.54142784061034,416.76334475844783
2024-02-05,359.98004783288116,205.3699470655942,515.1778229203975
2024-02-06,207.7229406559353,56.80934669577382,367.59880588067506
