ds,yhat,yhat_lower,yhat_upper
2023-02-17,89103.89524771005,-46012.91639099806,218327.66682025473
2023-02-18,100017.50726913092,-40467.47783641536,237041.02906925682
2023-02-19,129279.19825668026,-8614.819376809339,262057.4267595805
2023-02-20,103968.82862140174,-47318.93028355463,237176.54789347452
2023-02-21,110363.8312822378,-35666.18933723129,244261.8727013996
2023-02-22,118728.22843005213,-25172.11798257801,256677.4852547945
2023-02-23,95629.64016270505,-45446.10111655658,239973.60931400736
2023-02-24,88777.96600155538,-44575.75761572281,228605.13203535974
2023-02-25,99691.57802419827,-38021.39567420302,236995.1274537052
2023-02-26,128953.26901290652,-10528.09007247924,278467.52936820517
2023-02-27,103642.89937880826,-38953.71487231278,247181.55394428456
2023-02-28,110037.90204082464,-31854.27596348359,254002.03270171318
2023-03-01,118402.29918984829,-17855.681071536103,269076.8771106445
2023-03-02,95303.71092255096,-42081.39103450892,249077.7088693277
2023-03-03,88452.03676140009,-53471.35915134584,221023.71092789652
2023-03-04,99365.64878406057,-45989.952710278674,240201.86187690822
2023-03-05,128627.3397727511,-7178.579882220849,275283.6040571446
2023-03-06,103316.97013869951,-29300.613298926615,236389.55262115537
2023-03-07,109711.97280070414,-24920.826701086422,254136.89901190135
2023-03-08,118076.36994974085,-21657.660025772446,253091.33923139636
2023-03-09,94977.78168231423,-50560.84652704408,225053.91312610373
2023-03-10,88126.10752124476,-56523.97532522803,214811.51552841952
2023-03-11,99039.7195437918,-30832.133131683513,238036.36035345242
2023-03-12,128301.41052606165,-12218.605450988849,255217.12850771414
2023-03-13,102991.04088546343,-32683.912498556165,242916.4937258181
2023-03-14,109386.04354093607,-39496.71845652698,237237.52343569286
2023-03-15,117750.44068340097,-26901.966612054828,258881.98769441023
2023-03-16,94651.8524094901,-47374.68935850034,219761.22662729383
2023-03-17,87800.17824188541,-48217.857221182676,228285.61320212536
2023-03-18,98713.79025791606,-42794.444132902354,226615.4585670431
2023-03-19,127975.48124013715,-8584.860813529342,271112.01265382016
2023-03-20,102665.1115995912,-27624.139582053427,236542.5489734272
2023-03-21,109060.11425503193,-26932.167469017822,244579.8933634833
2023-03-22,117424.51139751612,-16553.911425671187,253037.55990450378
2023-03-23,94325.92312359794,-39327.12339014478,236550.13609120905
2023-03-24,87474.2489559658,-59166.83318348065,223679.05077600753
2023-03-25,98387.86097203435,-38607.81520754607,248018.3385394377
2023-03-26,127649.55195424365,-6267.012511740762,280081.4489758652
2023-03-27,102339.18231371051,-31246.315213383667,235166.48144451933
2023-03-28,108734.1849691278,-24135.534781379618,256055.96566767097
2023-03-29,117098.58210586509,-33389.64779458166,252588.64665114056
2023-03-30,93999.99382632057,-56257.87187449393,230334.95202507608
2023-03-31,87148.31965297132,-45626.79835636914,233588.47364003697
2023-04-01,98061.93166331621,-31613.465918358444,229779.99401883816
2023-04-02,127323.62263980233,-7421.223400346812,264651.7776989942
2023-04-03,102013.25299354974,-47515.40502996034,242016.04505439158
2023-04-04,108408.25564330551,-40907.08039004789,238020.8666902957
2023-04-05,116772.65278000766,-17353.092445803006,252172.67655208532
2023-04-06,93674.06450046465,-42707.95111243761,233710.0115544145
2023-04-07,86822.39032706745,-59111.53224550243,228998.14950687662
2023-04-08,97736.00233747077,-43574.45271283328,232125.75238774184
2023-04-09,126997.69331392959,-8996.111690747735,264525.0798554546
2023-04-10,101687.32366764598,-34198.337456419424,243767.2675810891
2023-04-11,108082.32631739207,-29370.913833650826,243921.50599276912
2023-04-12,116446.7234541502,-9203.61251842294,261205.4765962314
2023-04-13,93348.13517452612,-45062.39436337548,238474.5740579151
2023-04-14,86496.46100121035,-53568.133018207205,229654.62401670904
2023-04-15,97410.07300985331,-52423.56171561704,233733.51383791867
2023-04-16,126671.76398450097,-6285.800657381884,269421.6516239962
2023-04-17,101361.39433640838,-33730.798341107446,241369.54079553913
2023-04-18,107756.39698440667,-29722.348796346778,242731.12185095806
2023-04-19,116120.79411940306,-22608.973632957164,255941.1431096914
2023-04-20,93022.2058380026,-55347.09511306633,224059.68333244201
2023-04-21,86170.5316628814,-57167.99173268352,222023.9515325888
2023-04-22,97084.14367155633,-44818.020897336086,235281.10887717438
2023-04-23,126345.83464619583,-13313.259040176705,265059.65884066507
2023-04-24,101035.46499812683,-28881.749754183402,244298.54785719348
2023-04-25,107430.46764609322,-36065.39297163236,241801.83520218616
2023-04-26,115794.86478110886,-30723.976936025894,258250.90083095938
2023-04-27,92696.2764996598,-42437.24385963419,243516.69944009464
2023-04-28,85844.60232455247,-51138.10971767123,219674.29555481047
2023-04-29,96758.21433314611,-36036.78221448313,238426.14094836492
2023-04-30,126019.9053078775,-15863.849857339188,260887.9866964725
2023-05-01,100709.53565977747,-46947.708010094735,242660.796714528
2023-05-02,107104.53830782534,-33467.21850350212,241239.57623572697
2023-05-03,115468.93543831521,-21104.137731244355,265007.9749968018
2023-05-04,92370.34715245139,-53899.47945037517,226062.53475948755
2023-05-05,85518.67297280415,-42564.749424679554,232660.4409892017
2023-05-06,96432.28497689262,-38485.58685044391,247250.17107948553
2023-05-07,125693.97594712162,-16314.42862814647,260964.36043530353
2023-05-08,100383.60629451834,-39921.14009246915,235239.22847132463
2023-05-09,106778.60893812316,-28845.81116493331,235860.7715037503
2023-05-10,115143.00606852968,-20431.154579863673,247095.6251527711
2023-05-11,92044.41778267428,-40798.70221632069,231795.10741858688
2023-05-12,85192.74360304093,-54184.12940099194,228100.0419290454
2023-05-13,96106.3556071673,-29526.934698647096,243332.90263184696
2023-05-14,125368.046577369,-15729.775546931192,260607.89790960148
2023-05-15,100057.6769248279,-42405.4110058464,238841.50972374648
2023-05-16,106452.67956832983,-37181.42948920444,245691.61047756122
2023-05-17,114817.07669884057,-25852.084799695407,249203.4118194419
2023-05-18,91718.4884129385,-43949.84618053009,225956.86030801796
2023-05-19,84866.81423330394,-59158.14206318034,221778.56301011328
2023-05-20,95780.4262341104,-44279.20528113541,228392.50086866153
2023-05-21,125042.11720121904,-5533.303862527333,262952.40903412824
2023-05-22,99731.74754545887,-40850.18593987681,237820.88703945564
2023-05-23,106126.75018580195,-37902.424450322986,246294.48771388756
2023-05-24,114491.1473130229,-23359.493569469385,246516.94810901544
2023-05-25,91392.55902392286,-38681.87104248432,227906.44478231733
2023-05-26,84540.88484110142,-50821.99796073406,223681.92442982394
2023-05-27,95454.49684194011,-30389.53067560372,234804.1550081504
2023-05-28,124716.18780900592,-18725.209301055707,270891.27745422116
2023-05-29,99405.81815323026,-34899.65701239181,237381.74532860503
2023-05-30,105800.82079351235,-28909.233869421154,234254.0568567657
2023-05-31,114165.21792084943,-15938.822893186652,262154.21295556606
2023-06-01,91066.62963174214,-51837.231026600995,227540.85273913416
2023-06-02,84214.95544891947,-49315.312129041726,229521.12473871172
2023-06-03,95128.56744976982,-44978.41532405283,225492.83629514184
2023-06-04,124390.25841682384,-23355.45419633332,254769.5788149632
2023-06-05,99079.88876103555,-39263.58183937877,237958.52859768062
2023-06-06,105474.89140304684,-27953.47744893416,239292.35149563433
2023-06-07,113839.28853203046,-31556.834323033218,245937.94344956058
2023-06-08,90740.70024452373,-37507.257341094635,232317.96581365398
2023-06-09,83889.02606346413,-53426.813755874224,215471.64432042852
2023-06-10,94802.63806601375,-45345.43662832323,227101.94949230918
2023-06-11,124064.3290347294,-16702.62301439369,272170.9041488373
2023-06-12,98753.95938057851,-30130.953398326983,236855.67200596852
2023-06-13,105148.96202262571,-36858.49611929776,247295.14031452927
2023-06-14,113513.35915161978,-17851.444701017946,253648.00084736638
2023-06-15,90414.77086411457,-42206.3234156887,236648.13900505166
2023-06-16,83563.09668303325,-54507.272977236506,218534.89865754146
2023-06-17,94476.708685621,-38931.757072637156,231919.88669376538
2023-06-18,123738.39965430339,-16754.70721343919,252485.6468275798
2023-06-19,98428.03000018929,-43512.15430989763,236285.1479117364
2023-06-20,104823.0326422046,-40951.368531963824,248381.99583211853
2023-06-21,113187.42977116085,-18144.869926886087,253865.85049482455
2023-06-22,90088.8414837797,-50836.02961270865,229841.4413731848
2023-06-23,83237.16730327063,-51190.9306122537,228295.70840843196
2023-06-24,94150.77930657027,-30289.38346318035,231545.78437248335
2023-06-25,123412.47027589937,-13520.261080648384,258575.38271756453
2023-06-26,98102.10062252148,-45488.06575275275,241947.91983162792
2023-06-27,104497.10326510212,-32777.79639799046,247051.11797144427
2023-06-28,112861.5003947459,-16824.523236227928,248060.61217730513
2023-06-29,89762.91210804721,-57580.35598732758,227044.36522677305
2023-06-30,82911.23792760444,-56103.97127953667,229553.65757247963
2023-07-01,93824.84993088953,-43987.68934855876,240139.84816713296
2023-07-02,123086.54090020685,-17392.882268361955,269439.0416739872
2023-07-03,97776.17124681632,-44562.173705826004,235883.8637313527
2023-07-04,104171.17388944453,-32867.07233933678,240980.3003109244
2023-07-05,112535.57101905315,-23514.675761838524,253390.85705698148
2023-07-06,89436.9827323147,-41178.78229430076,228624.7899815233
2023-07-07,82585.3085518858,-58492.605958163906,223351.52773282924
2023-07-08,93498.92055508365,-48580.84027074026,227555.940801925
2023-07-09,122760.61152451433,-15179.737855612304,258700.46461618663
2023-07-10,97450.24187107725,-32158.79510650249,235072.83123582866
2023-07-11,103845.24451104924,-40441.03055812659,247386.2595250775
2023-07-12,112209.64163806735,-20017.561374750203,246703.07195734262
2023-07-13,89111.05334875814,-47644.17682399749,232926.58028177966
2023-07-14,82259.37916560718,-51069.07627549644,226433.08565134014
2023-07-15,93172.9911661761,-41146.04157006071,232691.08989781988
2023-07-16,122434.68213292696,-23042.347278569923,250910.44273365595
2023-07-17,97124.31247684619,-38130.920269574875,231626.85708376716
2023-07-18,103519.31511686576,-35867.9794475991,246140.37966894696
2023-07-19,111883.71224385752,-34331.562270588955,240122.01491038702
2023-07-20,88785.12395449975,-57799.70145810398,228790.92545860694
2023-07-21,81933.44977136263,-65541.58408259085,217012.59157509846
2023-07-22,92847.0617719635,-48853.74712545823,239011.88299358718
2023-07-23,122108.7527386752,-13979.032452350686,274182.99267703766
2023-07-24,96798.38308267445,-41896.343731180896,226432.76194732444
